time,sitesvalue
20161007,37,39,40,36
20161008,6,6,10,22
20161009,24,30,34,45
20161010,60,56,106,145
20161011,124,118,156,77
20161012,42,59,82,104
20161013,116,114,170,225
20161014,219,220,230,230
20161015,168,178,168,189
20161016,139,116,91,98
20161017,103,50,30,81
20161018,90,69,142,195
20161019,187,220,272,212
20161020,197,46,38,47
20161021,44,50,56,34
20161022,26,12,10,18
20161023,29,27,29,45
20161024,59,55,70,98
20161025,111,80,122,130
20161026,83,22,27,30
20161027,24,33,50,26
20161028,20,11,8,13
20161029,17,13,22,39
20161030,51,74,58,11
20161031,4,8,7,13
20161101,25,29,60,78
20161102,102,103,118,160
20161103,165,138,255,254
20161104,209,229,305,227
20161105,238,200,191,154
20161106,96,53,48,94
20161107,94,55,10,11
20161108,13,21,39,79
20161109,100,146,188,217
20161110,170,149,183,115
20161111,110,144,91,62
20161112,61,48,82,99
20161113,44,64,114,152
20161114,141,16,8,14
20161115,51,59,48,78
20161116,112,72,94,118
20161117,154,61,78,116
20161118,156,174,231,172
20161119,218,87,57,193
20161120,77,49,76,32
20161121,13,9,12,10
20161122,6,8,6,11
20161123,9,25,48,39
20161124,12,66,87,187
20161125,168,98,143,305
20161126,304,315,303,350
20161127,189,11,12,16
20161128,61,66,80,99
20161129,82,72,144,115
20161130,89,138,167,30
20161201,6,10,17,115
20161202,150,40,92,239
20161203,182,109,204,382
20161204,498,356,190,266
20161205,108,66,35,33
20161206,81,93,101,129
20161207,138,102,168,195
20161208,236,171,9,10
20161209,9,13,22,58
20161210,62,24,44,84
20161211,146,195,217,212
20161212,228,228,235,212
20161213,149,7,47,47
20161214,8,11,29,74
20161215,81,16,7,26
20161216,201,67,200,293
20161217,169,113,264,371
20161218,305,221,246,303
20161219,292,230,243,373
20161220,467,416,322,384
20161221,390,385,466,443
20161222,297,15,114,30
20161223,16,14,28,83
20161224,94,132,120,141
20161225,164,129,139,175
20161226,130,23,17,12
20161227,10,14,17,123
20161228,161,99,11,33
20161229,13,20,58,209
20161230,389,197,261,336
20161231,344,357,422,442
